Stock Code,Investment2019
603041,4829.230772
2146,
603378,14379.4465
2757,92951.21176
2889,
2796,64856.76731
998,38775.93575
601966,622822.582
300227,
2772,26946.4168
300313,3044.687253
2694,9304.23297
2295,14032.9139
2378,38010.84431
601388,28883.1772
601633,257658.29
300341,
300254,
300289,
2627,
2618,
600998,
603595,
603110,5857.06599
300504,
2193,21212.81666
300766,
603706,
600337,
2763,7908.134513
600446,
300701,
603899,490035.9567
2733,
603500,5909.2488
2330,61250.24869
603043,83281.02735
601515,179141.0483
600175,
300374,13867.21623
300509,13145.3115
2886,5465.286048
300731,4137.633582
603023,
603385,21159.06353
603527,8154.676316
2161,
300284,
603238,7046.183925
2781,
300415,43204.71361
300579,
603063,
300531,
603113,9722.032382
600760,690442.408
2723,
600870,
2866,
2001,
300793,
603317,19161.67172
601168,66441.50488
601808,956788.6793
2678,84328.92551
2427,11212.62418
2613,43261.25815
300545,47835.99137
603701,
603992,16097.69511
603876,45219.94497
2753,10959.10923
603279,13747.50533
603012,249711.5692
603183,
300779,8733.1387
603733,11741.46725
601339,98543.92275
300412,15425.10754
603080,
2138,
2773,
603129,25862.27936
300534,
300474,
603708,
300676,
2709,68323.76328
603519,
2906,
2131,
2319,9719.686898
300651,10473.41747
688299,1332.19988
603803,
300600,10794.76224
2823,
603866,294465.9216
600530,
601138,
603969,35856.83395
2177,50737.74379
300572,
2420,10898.03536
300685,
603637,
600571,
2229,27783.61698
2817,
2180,
300557,
2911,
300650,
